private_entity,private_uri,entity_type,wikidata_id,wikidata_uri,wikidata_label,wikidata_description,confidence,matched,match_reason
Emma Thomas,http://example.org/webdatamining/entity/emma-thomas,PERSON,Q242951,http://www.wikidata.org/entity/Q242951,Emma Thomas,British film producer (born 1971),0.85,True,"exact_label,api_match_text,type_hint:producer"
Ernest Rutherford,http://example.org/webdatamining/entity/ernest-rutherford,PERSON,Q9123,http://www.wikidata.org/entity/Q9123,Ernest Rutherford,New Zealand physicist (1871–1937),0.75,True,"exact_label,api_match_text"
Esposito,http://example.org/webdatamining/entity/esposito,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Eugene Wigner,http://example.org/webdatamining/entity/eugene-wigner,PERSON,Q155790,http://www.wikidata.org/entity/Q155790,Eugene Wigner,Hungarian-American physicist and mathematician (1902–1995),0.75,True,"exact_label,api_match_text"
Florence Pugh,http://example.org/webdatamining/entity/florence-pugh,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Gary Oldman,http://example.org/webdatamining/entity/gary-oldman,PERSON,Q83492,http://www.wikidata.org/entity/Q83492,Gary Oldman,British actor and filmmaker (born 1958),0.9,True,"exact_label,api_match_text,type_hint:actor"
George Lucas’s,http://example.org/webdatamining/entity/george-lucas-s,PERSON,,,,,0.0,False,below_threshold
Giancarlo Esposito,http://example.org/webdatamining/entity/giancarlo-esposito,PERSON,Q726142,http://www.wikidata.org/entity/Q726142,Giancarlo Esposito,American actor,0.9,True,"exact_label,api_match_text,type_hint:actor"
Gibbons,http://example.org/webdatamining/entity/gibbons,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Gilligan,http://example.org/webdatamining/entity/gilligan,PERSON,Q16870188,http://www.wikidata.org/entity/Q16870188,Gilligan,family name,0.75,True,"exact_label,api_match_text"
Greta Gerwig’s,http://example.org/webdatamining/entity/greta-gerwig-s,PERSON,,,,,0.3,False,token_overlap
Gunn,http://example.org/webdatamining/entity/gunn,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Gus Fring,http://example.org/webdatamining/entity/gus-fring,PERSON,Q5620660,http://www.wikidata.org/entity/Q5620660,Gus Fring,character in the television series Breaking Bad and Better Call Saul,0.9,True,"exact_label,api_match_text,type_hint:television"
Hank Schrader,http://example.org/webdatamining/entity/hank-schrader,PERSON,Q5648455,http://www.wikidata.org/entity/Q5648455,Hank Schrader,fictional character in the television drama series Breaking Bad,0.9,True,"exact_label,api_match_text,type_hint:television"
Harmon Oscar Nelson,http://example.org/webdatamining/entity/harmon-oscar-nelson,PERSON,,,,,0.0,False,below_threshold
Harry S. Truman,http://example.org/webdatamining/entity/harry-s-truman,PERSON,Q11613,http://www.wikidata.org/entity/Q11613,Harry S. Truman,president of the United States from 1945 to 1953; politician (1884–1972),0.75,True,"exact_label,api_match_text"
Heath Ledger,http://example.org/webdatamining/entity/heath-ledger,PERSON,Q40572,http://www.wikidata.org/entity/Q40572,Heath Ledger,Australian actor (1979–2008),0.9,True,"exact_label,api_match_text,type_hint:actor"
Hector,http://example.org/webdatamining/entity/hector,PERSON,Q4040512,http://www.wikidata.org/entity/Q4040512,Hector,Finnish singer-songwriter; translator of song lyrics,0.9,True,"exact_label,api_match_text,type_hint:writer"
Heisenberg,http://example.org/webdatamining/entity/heisenberg,PERSON,,,,,0.7,False,"exact_label,api_match_text"
J. Robert Oppenheimer,http://example.org/webdatamining/entity/j-robert-oppenheimer,PERSON,,,,,0.7,False,"exact_label,api_match_text"
J. Robert Oppenheimer’s,http://example.org/webdatamining/entity/j-robert-oppenheimer-s,PERSON,,,,,0.0,False,below_threshold
James Hilton,http://example.org/webdatamining/entity/james-hilton,PERSON,Q43227,http://www.wikidata.org/entity/Q43227,James Hilton,British novelist and screenwriter (1900–1954),0.85,True,"exact_label,api_match_text,type_hint:writer"
Jane,http://example.org/webdatamining/entity/jane,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Jean Tatlock,http://example.org/webdatamining/entity/jean-tatlock,PERSON,Q14859022,http://www.wikidata.org/entity/Q14859022,Jean Tatlock,American activist (1914-1944),0.75,True,"exact_label,api_match_text"
Jennifer Granholm,http://example.org/webdatamining/entity/jennifer-granholm,PERSON,Q234994,http://www.wikidata.org/entity/Q234994,Jennifer Granholm,16th United States Secretary of Energy,0.75,True,"exact_label,api_match_text"
Jesse,http://example.org/webdatamining/entity/jesse,PERSON,Q2227398,http://www.wikidata.org/entity/Q2227398,Jesse,unisex given name,0.75,True,"exact_label,api_match_text"
Jesse Pinkman,http://example.org/webdatamining/entity/jesse-pinkman,PERSON,Q6186746,http://www.wikidata.org/entity/Q6186746,Jesse Pinkman,fictional character of the television drama series Breaking Bad,0.9,True,"exact_label,api_match_text,type_hint:television"
Jesse Plemons,http://example.org/webdatamining/entity/jesse-plemons,PERSON,Q1138674,http://www.wikidata.org/entity/Q1138674,Jesse Plemons,American actor (born 1988),0.9,True,"exact_label,api_match_text,type_hint:actor"
Jessica Chastain,http://example.org/webdatamining/entity/jessica-chastain,PERSON,Q229313,http://www.wikidata.org/entity/Q229313,Jessica Chastain,American actress and producer (born 1977),0.9,True,"exact_label,api_match_text,type_hint:producer"
Jesus,http://example.org/webdatamining/entity/jesus,PERSON,Q1158269,http://www.wikidata.org/entity/Q1158269,Jesus,male given name,0.75,True,"exact_label,api_match_text"
John Brand,http://example.org/webdatamining/entity/john-brand,PERSON,Q6222954,http://www.wikidata.org/entity/Q6222954,John Brand,English clergyman and writer,0.85,True,"exact_label,api_match_text,type_hint:writer"
John Brand’s,http://example.org/webdatamining/entity/john-brand-s,PERSON,,,,,0.2167,False,token_overlap
John Lithgow,http://example.org/webdatamining/entity/john-lithgow,PERSON,Q311271,http://www.wikidata.org/entity/Q311271,John Lithgow,American actor (born 1945),0.85,True,"exact_label,api_match_text,type_hint:actor"
Johnny Carson,http://example.org/webdatamining/entity/johnny-carson,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Joker,http://example.org/webdatamining/entity/joker,PERSON,Q42759035,http://www.wikidata.org/entity/Q42759035,Joker,2019 musical film directed by Todd Phillips,0.9,True,"exact_label,api_match_text,type_hint:film"
Jonathan,http://example.org/webdatamining/entity/jonathan,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Jonathan Nolan,http://example.org/webdatamining/entity/jonathan-nolan,PERSON,Q372788,http://www.wikidata.org/entity/Q372788,Jonathan Nolan,British-American screenwriter (born 1976),0.9,True,"exact_label,api_match_text,type_hint:writer"
Joseph Stalin,http://example.org/webdatamining/entity/joseph-stalin,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Julius S. Oppenheimer,http://example.org/webdatamining/entity/julius-s-oppenheimer,PERSON,,,,,0.0,False,below_threshold
Kai Bird,http://example.org/webdatamining/entity/kai-bird,PERSON,Q6347357,http://www.wikidata.org/entity/Q6347357,Kai Bird,American journalist,0.75,True,"exact_label,api_match_text"
Katharine Puening,http://example.org/webdatamining/entity/katharine-puening,PERSON,,,,,0.0,False,below_threshold
Kip Thorne,http://example.org/webdatamining/entity/kip-thorne,PERSON,,,,,0.4,False,"token_overlap,api_match_text"
Kitty,http://example.org/webdatamining/entity/kitty,PERSON,Q16278018,http://www.wikidata.org/entity/Q16278018,Kitty,female given name,0.75,True,"exact_label,api_match_text"
Kitty Oppenheimer,http://example.org/webdatamining/entity/kitty-oppenheimer,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Krysten Ritter,http://example.org/webdatamining/entity/krysten-ritter,PERSON,Q258793,http://www.wikidata.org/entity/Q258793,Krysten Ritter,American actress (born 1981),0.75,True,"exact_label,api_match_text"
Lazarus,http://example.org/webdatamining/entity/lazarus,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Leo Szilard,http://example.org/webdatamining/entity/leo-szilard,PERSON,,,,,0.45,False,partial_label
Leonardo DiCaprio,http://example.org/webdatamining/entity/leonardo-dicaprio,PERSON,Q38111,http://www.wikidata.org/entity/Q38111,Leonardo DiCaprio,American actor and producer (born 1974),0.9,True,"exact_label,api_match_text,type_hint:actor"
Leslie Richard Groves,http://example.org/webdatamining/entity/leslie-richard-groves,PERSON,,,,,0.3167,False,"token_overlap,api_match_text"
Lewis Strauss,http://example.org/webdatamining/entity/lewis-strauss,PERSON,Q1822160,http://www.wikidata.org/entity/Q1822160,Lewis Strauss,American banker and chairman of the U.S. Atomic Energy Commission (1896-1974),0.75,True,"exact_label,api_match_text"
